iter	Passed	Remaining
0	1	121
1	2	131
2	3	128
3	5	125
4	6	117
5	7	116
6	9	123
7	11	132
8	12	127
9	13	123
10	14	120
11	15	116
12	16	113
13	18	111
14	19	109
15	20	108
16	21	105
17	22	104
18	23	101
19	25	102
20	26	100
21	28	99
22	29	97
23	30	95
24	31	94
25	32	93
26	33	91
27	34	89
28	37	91
29	38	89
30	39	87
31	41	88
32	42	86
33	43	84
34	44	82
35	45	80
36	46	78
37	46	76
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	52	67
44	53	65
45	56	66
46	57	65
47	58	63
48	59	62
49	60	60
50	61	59
51	63	59
52	65	57
53	66	56
54	67	55
55	68	53
56	71	54
57	73	52
58	78	54
59	82	54
60	83	53
61	86	52
62	87	51
63	91	51
64	96	52
65	98	50
66	99	48
67	101	47
68	103	46
69	104	44
70	105	43
71	106	41
72	107	39
73	108	37
74	110	36
75	111	35
76	114	34
77	116	32
78	117	31
79	118	29
80	121	28
81	122	26
82	123	25
83	138	26
84	139	24
85	140	22
86	142	21
87	143	19
88	144	17
89	146	16
90	147	14
91	148	12
92	149	11
93	150	9
94	151	7
95	152	6
96	153	4
97	153	3
98	154	1
99	155	0
